,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254
1,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255,254,255
2,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510
3,254,255,254,243,254,255,230,231,254,255,254,195,206,207,206,207,254,255,254,243,254,255,134,135,158,159,158,147,158,159,158,159,254,255,254,243,254,255,230,231,254,255,254,3,14,15,14,15,62,63,62,51,62,63,38,39,62,63,62,51,62,63,62,63,254,255,254,243,254,255,230,231,254,255,254,195,206,207,206,207,254,255,254,243,254,255,262,263,286,287,286,275,286,287,286,287,382,383,382,371,382,383,358,359,382,383,382,323,334,335,334,335,382,383,382,371,382,383,358,359,382,383,382,371,382,383,382,383,510,511,510,499,510,511,486,487,510,511,510,451,462,463,462,463,510,511,510,499,510,511,390,391,414,415,414,403,414,415,414,415,510,511,510,499,510,511,486,487,510,511,510,515,526,527,526,527,574,575,574,563,574,575,550,551,574,575,574,563,574,575,574,575,766,767,766,755,766,767,742,743,766,767,766,707,718,719,718,719,766,767,766,755,766,767,646,647,670,671,670,659,670,671,670,671,766,767,766,755,766,767,742,743,766,767,766,707,718,719,718,719,766,767,766,755,766,767,742,743,766,767,766,755,766,767,766,767
4,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022
5,254,255,254,255,254,247,254,199,254,255,238,239,254,135,142,143,254,255,254,255,222,215,222,215,254,255,14,15,30,23,30,31,254,255,254,255,254,247,254,135,190,191,174,175,190,167,174,175,254,255,254,255,286,279,286,279,318,319,302,303,318,311,318,319,510,511,510,511,510,503,510,455,510,511,494,495,510,263,270,271,382,383,382,383,350,343,350,343,382,383,334,335,350,343,350,351,510,511,510,511,510,503,510,519,574,575,558,559,574,551,558,559,638,639,638,639,606,599,606,599,638,639,622,623,638,631,638,639,766,767,766,767,766,759,766,711,766,767,750,751,766,647,654,655,766,767,766,767,734,727,734,727,766,767,782,783,798,791,798,799,1022,1023,1022,1023,1022,1015,1022,903,958,959,942,943,958,935,942,943,1022,1023,1022,1023,926,919,926,919,958,959,942,943,958,951,958,959,1022,1023,1022,1023,1022,1015,1022,967,1022,1023,1006,1007,1022,1031,1038,1039,1150,1151,1150,1151,1118,1111,1118,1111,1150,1151,1102,1103,1118,1111,1118,1119,1278,1279,1278,1279,1278,1271,1278,1159,1214,1215,1198,1199,1214,1191,1198,1199,1278,1279,1278,1279,1246,1239,1246,1239,1278,1279,1262,1263,1278,1271,1278,1279
6,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534
7,254,255,254,251,254,199,246,227,254,255,142,251,238,239,198,203,254,255,254,27,30,23,246,195,222,223,222,251,142,143,150,155,254,255,254,251,254,263,310,291,318,319,302,507,494,495,390,395,446,447,446,443,446,439,502,259,286,287,286,315,302,303,310,315,510,511,510,507,510,455,502,483,510,511,526,635,622,623,582,587,638,639,638,603,606,599,758,707,734,735,734,763,526,527,534,539,638,639,638,635,638,583,630,611,638,639,622,763,750,751,774,779,830,831,830,827,830,823,886,835,862,863,862,891,878,879,886,891,1022,1023,1022,1019,1022,967,1014,995,1022,1023,910,1019,1006,1007,966,971,1022,1023,1022,1051,1054,1047,1270,1219,1246,1247,1246,1275,1166,1167,1174,1179,1278,1279,1278,1275,1278,1159,1206,1187,1214,1215,1198,1275,1262,1263,1158,1163,1214,1215,1214,1211,1214,1207,1270,1283,1310,1311,1310,1339,1326,1327,1334,1339,1534,1535,1534,1531,1534,1479,1526,1507,1534,1535,1422,1531,1518,1519,1478,1483,1534,1535,1534,1499,1502,1495,1526,1475,1502,1503,1502,1531,1550,1551,1558,1563,1662,1663,1662,1659,1662,1607,1654,1635,1662,1663,1646,1787,1774,1775,1670,1675,1726,1727,1726,1723,1726,1719,1782,1731,1758,1759,1758,1787,1774,1775,1782,1787
8,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046
9,254,255,254,255,254,255,254,255,254,239,254,207,254,239,254,15,254,255,222,223,254,255,158,159,254,207,222,223,254,271,286,287,510,511,510,511,446,447,446,447,510,495,510,271,318,303,318,303,510,511,414,415,446,447,446,447,510,527,542,543,574,559,574,575,766,767,766,767,766,767,766,767,638,623,638,591,638,623,638,591,766,767,734,735,766,767,798,799,894,847,862,863,894,847,862,863,1022,1023,1022,1023,830,831,830,831,894,879,894,847,894,879,894,879,1022,1023,1054,1055,1086,1087,1086,1087,1150,1103,1118,1119,1150,1135,1150,1151,1278,1279,1278,1279,1278,1279,1278,1279,1278,1263,1278,1231,1278,1263,1278,1295,1534,1535,1502,1503,1534,1535,1438,1439,1534,1487,1502,1503,1534,1423,1438,1439,1534,1535,1534,1535,1470,1471,1470,1471,1534,1519,1534,1551,1598,1583,1598,1583,1790,1791,1694,1695,1726,1727,1726,1727,1790,1679,1694,1695,1726,1711,1726,1727,1790,1791,1790,1791,1790,1791,1790,1791,1918,1903,1918,1871,1918,1903,1918,1871,2046,2047,2014,2015,2046,2047,1950,1951,2046,1999,2014,2015,2046,1999,2014,2015,2046,2047,2046,2047,2110,2111,2110,2111,2174,2159,2174,2127,2174,2159,2174,2159,2302,2303,2206,2207,2238,2239,2238,2239,2302,2255,2270,2271,2302,2287,2302,2303
